symbol,company_name,price,change,perc_change,volume
CVI,CVR Energy Inc.,33.18,2.71,8.89,2.8M
STEM,Stem Inc.,16.54,1.35,8.89,345.7K
CLSK,CleanSpark Inc.,11.2,0.91,8.84,29.6M
CMPR,Cimpress PLC,62.65,5.06,8.79,517.2K
DRMA,Dermata Therapeutics Inc.,5.9,0.47,8.75,139.4K
CURX,Curanex Pharmaceuticals Inc.,9.16,0.73,8.66,4.4M
JVA,Coffee Holding Co. Inc.,4.78,0.38,8.64,126.7K
DEVS,DevvStream Corp.,2.9,0.23,8.61,263.4K
USAR,USA Rare Earth Inc.,14.92,1.18,8.59,9.2M
YMT,Yimutian Inc. ADR,2.29,0.18,8.53,55.4K
BW,Babcock & Wilcox Enterprises Inc.,3.2,0.25,8.47,4.6M
FIGR,Figure Technology Solutions Inc.,40.48,3.15,8.44,8.1M
ELVR,Sayona Mining Ltd. ADR,17.46,1.35,8.38,146.8K
PGEN,Precigen Inc.,3.89,0.3,8.36,9.3M
SDM,Smart Digital Group Ltd.,12.94,0.99,8.28,5.7M
SEDG,SolarEdge Technologies Inc.,33.11,2.52,8.24,4.7M
SRTA,Strata Critical Medical Inc. Cl A,4.9,0.37,8.17,1.4M
NIO,NIO Inc. ADR,7.02,0.53,8.17,130.7M
AMPY,Amplify Energy Corp.,4.38,0.33,8.15,879.1K
MARA,MARA Holdings Inc.,17.53,1.29,7.94,112.7M
KTOS,Kratos Defense & Security Solutions Inc.,76.35,5.61,7.93,5.3M
FERG,Ferguson Enterprises Inc.,231.54,17.01,7.93,5.0M
DAR,Darling Ingredients Inc.,33.87,2.48,7.9,5.9M
SVCO,Silvaco Group Inc.,5.6,0.41,7.9,236.5K
SPCB,SuperCom Ltd.,11.1,0.81,7.87,122.2K
GPCR,Structure Therapeutics Inc. ADR,21.79,1.59,7.87,814.6K
