,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
67,ONTO,Onto Innovation Inc.,,120.58 +4.21 (+3.62%),4.21,+3.62%,2.451M,1.251M,5.909B,29.85,-35.78%,85.88 228.42
68,CIVI,"Civitas Resources, Inc.",,33.56 +1.17 (+3.61%),1.17,+3.61%,1.907M,2.536M,3.11B,4.25,-38.00%,22.79 56.05
69,QBTS,D-Wave Quantum Inc.,,18.98 +0.66 (+3.60%),0.66,+3.60%,37.953M,40.9M,6.492B,--,"+1,864.80%",0.87 20.56
70,SKY,"Champion Homes, Inc.",,77.97 +2.69 (+3.57%),2.69,+3.57%,1.157M,716941,4.407B,20.74,-16.04%,59.44 116.49
71,CSAN,Cosan S.A.,,5.82 +0.20 (+3.56%),0.2,+3.56%,1.946M,1.558M,2.705B,--,-39.12%,3.80 10.12
72,DVN,Devon Energy Corporation,,34.97 +1.20 (+3.55%),1.2,+3.55%,7.799M,7.595M,22.199B,7.88,-13.38%,25.89 43.30
73,RH,RH,,230.70 +7.87 (+3.53%),7.87,+3.53%,916307,1.158M,4.324B,42.96,-31.07%,123.03 457.26
74,SOUN,"SoundHound AI, Inc.",,14.69 +0.50 (+3.52%),0.5,+3.52%,65.978M,54.18M,5.989B,--,+202.89%,4.45 24.98
75,BRBR,"BellRing Brands, Inc.",,36.75 +1.24 (+3.49%),1.24,+3.49%,2.614M,3.44M,4.63B,21.00,-38.09%,34.02 80.67
76,VIST,"Vista Energy, S.A.B. de C.V.",,36.65 +1.23 (+3.47%),1.23,+3.47%,810157,1.06M,3.853B,6.69,-21.92%,31.63 61.67
77,GLXY,Galaxy Digital,,31.83 +1.06 (+3.44%),1.06,+3.44%,9.35M,9.059M,11.578B,--,+39.61%,17.40 33.17
78,NE,Noble Corporation plc,,31.60 +1.05 (+3.44%),1.05,+3.44%,2.823M,2.091M,5.019B,16.63,-13.47%,17.40 37.99
79,SITM,SiTime Corporation,,288.61 +9.48 (+3.39%),9.48,+3.39%,490112,396053,7.505B,--,+83.98%,105.40 289.33
80,SAM,"The Boston Beer Company, Inc.",,222.35 +7.24 (+3.37%),7.24,+3.37%,336272,275175,2.421B,30.75,-19.03%,185.34 329.55
81,CGON,"CG Oncology, Inc.",,35.76 +1.16 (+3.35%),1.16,+3.35%,1.426M,897951,2.727B,--,-3.51%,14.80 40.47
82,MLYS,"Mineralys Therapeutics, Inc.",,37.42 +1.21 (+3.34%),1.21,+3.34%,1.301M,1.443M,2.974B,--,+220.10%,8.24 39.20
83,CHWY,"Chewy, Inc.",,38.18 +1.23 (+3.33%),1.23,+3.33%,10.388M,7.994M,15.838B,106.06,+23.56%,26.28 48.62
84,NOG,"Northern Oil and Gas, Inc.",,25.79 +0.83 (+3.33%),0.83,+3.33%,1.549M,1.812M,2.517B,4.26,-28.70%,19.88 44.31
85,TCOM,Trip.com Group Limited,,76.58 +2.46 (+3.32%),2.46,+3.32%,4.216M,3.005M,50.066B,21.10,+63.98%,46.20 77.18
86,BMA,Banco Macro S.A.,,43.85 +1.40 (+3.30%),1.4,+3.30%,498144,447195,2.907B,--,-38.12%,42.17 118.42
87,VG,"Venture Global, Inc.",,14.10 +0.45 (+3.30%),0.45,+3.30%,6.58M,6.062M,34.234B,23.90,-41.25%,6.75 24.00
88,SMPL,The Simply Good Foods Company,,27.00 +0.86 (+3.29%),0.86,+3.29%,1.887M,1.357M,2.715B,18.88,-19.64%,26.13 40.53
89,ALKS,Alkermes plc,,27.39 +0.87 (+3.28%),0.87,+3.28%,2.087M,1.955M,4.521B,13.23,-1.58%,25.17 36.45
90,DLO,DLocal Limited,,14.64 +0.46 (+3.24%),0.46,+3.24%,4.091M,2.471M,4.3B,30.50,+75.12%,7.61 16.44
91,ALAB,"Astera Labs, Inc.",,238.79 +7.50 (+3.24%),7.5,+3.24%,4.365M,5.655M,39.691B,294.80,+414.19%,46.06 241.29
92,JD,"JD.com, Inc.",,34.71 +1.09 (+3.24%),1.09,+3.24%,27.59M,11.81M,50.685B,9.70,+28.94%,26.67 47.82
93,VLO,Valero Energy Corporation,,162.64 +5.07 (+3.22%),5.07,+3.22%,2.919M,2.934M,50.524B,65.85,+19.01%,99.00 163.34
94,MTDR,Matador Resources Company,,47.98 +1.49 (+3.20%),1.49,+3.20%,2.027M,1.624M,5.973B,7.05,-7.20%,35.19 64.05
95,RELY,"Remitly Global, Inc.",,17.20 +0.53 (+3.18%),0.53,+3.18%,4.058M,3.947M,3.547B,286.67,+20.96%,12.43 27.32
96,GME,GameStop Corp.,,26.34 +0.81 (+3.17%),0.81,+3.17%,9.783M,9.099M,11.783B,32.12,+34.05%,19.42 35.81
97,KYMR,"Kymera Therapeutics, Inc.",,48.78 +1.50 (+3.17%),1.5,+3.17%,894833,717424,3.488B,--,+5.04%,19.45 53.27
98,SGHC,Super Group (SGHC) Limited,,13.09 +0.40 (+3.15%),0.4,+3.15%,4.474M,2.211M,6.619B,50.35,+261.60%,3.44 13.49
99,RNA,"Avidity Biosciences, Inc.",,41.44 +1.25 (+3.11%),1.25,+3.11%,2.078M,3.132M,5.953B,--,-7.15%,21.51 56.00
100,SDRL,Seadrill Limited,,34.03 +1.02 (+3.09%),1.02,+3.09%,724234,960614,2.118B,28.60,-16.59%,17.74 42.41
101,PSIX,"Power Solutions International, Inc.",,98.42 +2.89 (+3.03%),2.89,+3.03%,579100,731879,2.267B,20.46,+470.22%,15.30 121.78
102,ON,ON Semiconductor Corporation,,49.56 +1.45 (+3.01%),1.45,+3.01%,8.156M,8.579M,20.269B,47.20,-29.84%,31.04 76.06
103,ADM,Archer-Daniels-Midland Company,,62.35 +1.82 (+3.01%),1.82,+3.01%,4.665M,3.545M,29.957B,27.11,+3.01%,40.98 64.38
104,PONY,Pony AI Inc.,,17.13 +0.50 (+3.01%),0.5,+3.01%,11.148M,8.107M,6.086B,--,+42.75%,4.11 23.88
105,,,,,,,,,,,,
